Period Ending,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash And Cash Equivalents,1719100.00,1034600.00,1737200.00,968900.00
Short Term Investments,34600.00,138600.00,23200.00,360700.00
Net Receivables,1598600.00,1349300.00,1104600.00,1123700.00
Inventory,1106900.00,928900.00,851800.00,865600.00
Other Current Assets,196800.00,139800.00,133200.00,133300.00
Total Current Assets,4656000.00,3591200.00,3850000.00,3452200.00
Long Term Investments,0.00,0.00,0.00,0.00
Property Plant and Equipment,816800.00,711400.00,609500.00,590700.00
Goodwill,4042600.00,3678800.00,2692900.00,2616700.00
Intangible Assets,441600.00,474400.00,268700.00,287800.00
Accumulated Amortization,0.00,0.00,0.00,0.00
Other Assets,46900.00,42900.00,37300.00,38500.00
Deferred Long Term Asset Charges,32000.00,29400.00,0.00,0.00
Total Assets,10003900.00,8498700.00,7458400.00,6985900.00
Accounts Payable,875600.00,678200.00,587800.00,618400.00
Short/Current Long Term Debt,3542600.00,3010700.00,2813500.00,2656200.00
Other Current Liabilities,212300.00,174400.00,125000.00,129500.00
Total Current Liabilities,1579400.00,1635200.00,1008400.00,1045600.00
Long Term Debt,3541500.00,2635500.00,2813200.00,2654600.00
Other Liabilities,839600.00,504900.00,358400.00,347800.00
Deferred Long Term Liability Charges,0.00,0.00,0.00,0.00
Minority Interest,53600.00,48200.00,39900.00,30500.00
Negative Goodwill,0.00,0.00,0.00,0.00
Total Liabilities,5960500.00,4775600.00,4180000.00,4048000.00
Misc. Stocks Options Warrants,0.00,0.00,0.00,0.00
Redeemable Preferred Stock,0.00,0.00,0.00,0.00
Preferred Stock,0.00,0.00,0.00,0.00
Common Stock,300.00,300.00,300.00,300.00
Retained Earnings,2941500.00,3122700.00,2804400.00,2453500.00
Treasury Stock,201000.00,469000.00,349500.00,205800.00
Capital Surplus,1249000.00,1020900.00,783300.00,659400.00
Other Stockholder Equity,201000.00,469000.00,349500.00,205800.00
Total Stockholder Equity,3989800.00,3674900.00,3238500.00,2907400.00
Net Tangible Assets,494400.00,478300.00,276900.00,2900.00
