Revenue,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Total Revenue,4082,554,3404.8,665.076
Cost of Revenue,3148,2164,899.482,37.339
Gross Profit,7230,2718,2505.32,702.415
Research Development,0,0,0,0
Selling General and Administrative,8797,3742,1945.36,2341.44
Non Recurring,0,0,0,0
Others,0,0,0,208.292
Total Operating Expenses,6190,1960,2958.16,2619.7
Operating Income or Loss,2108,1406,446.639,3284.78
Total Other Income/Expenses Net,4897,352,231.473,1533.41
Earnings Before Interest and Taxes,2108,1406,446.639,3284.78
Interest Expense,126,232,416.473,416.473
Income Before Tax,2789,1758,215.166,4818.19
Income Tax Expense,298,568,171,26
Minority Interest,0,0,0,0
Net Income From Continuing Ops,2491,1190,386.166,4792.19
Discontinued Operations,0,0,0,0
Extraordinary Items,0,0,0,0
Effect Of Accounting Changes,0,0,0,0
Other Items,0,0,0,0
Net Income,2491,1190,386.166,4792.19
Preferred Stock And Other Adjustments,0,0,0,0
Net Income Applicable To Common Shares,2491,1190,386.166,4792.19
