Period Ending,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash And Cash Equivalents,9208.00,3464.00,1127.34,795.53
Short Term Investments,0.00,0.00,0.00,0.00
Net Receivables,4568.00,416.00,0.00,716.29
Inventory,12138.00,3703.00,0.00,20.00
Other Current Assets,0.00,0.00,0.00,0.00
Total Current Assets,26704.00,8086.00,1225.09,1578.05
Long Term Investments,5154.00,7693.00,8795.65,5432.44
Property Plant and Equipment,56172.00,14122.00,2699.89,1303.75
Goodwill,1792.00,1792.00,392.00,392.00
Intangible Assets,11207.00,11207.00,1611.23,1611.23
Accumulated Amortization,0.00,0.00,0.00,0.00
Other Assets,0.00,0.00,0.00,25.00
Deferred Long Term Asset Charges,0.00,0.00,0.00,0.00
Total Assets,101029.00,42900.00,14723.85,10342.46
Accounts Payable,7076.00,586.00,946.84,589.70
Short/Current Long Term Debt,5367.00,4000.00,1565.00,115.00
Other Current Liabilities,802.00,3180.00,315.16,0.00
Total Current Liabilities,7878.00,7766.00,2326.99,704.70
Long Term Debt,5367.00,0.00,500.00,0.00
Other Liabilities,1416.00,1457.00,195.00,366.00
Deferred Long Term Liability Charges,0.00,0.00,0.00,0.00
Minority Interest,0.00,0.00,0.00,0.00
Negative Goodwill,0.00,0.00,0.00,0.00
Total Liabilities,14661.00,9223.00,3021.99,1070.70
Misc. Stocks Options Warrants,0.00,0.00,0.00,0.00
Redeemable Preferred Stock,0.00,0.00,0.00,0.00
Preferred Stock,0.00,0.00,0.00,0.00
Common Stock,83559.00,33590.00,14799.82,13586.13
Retained Earnings,3724.00,6215.00,5025.50,5411.66
Treasury Stock,6533.00,6302.00,1328.88,368.65
Capital Surplus,0.00,0.00,598.65,728.65
Other Stockholder Equity,6533.00,6302.00,1328.88,368.65
Total Stockholder Equity,86368.00,33677.00,11701.86,9271.77
Net Tangible Assets,73369.00,20678.00,9698.63,7268.54
