Revenue,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Total Revenue,937.654,253.321,31.291,0
Cost of Revenue,1223.17,603.267,203.802,0
Gross Profit,285.517,349.946,172.511,0
Research Development,207.5,301.526,162.316,40.066
Selling General and Administrative,5498.99,1452.22,1931.2,1110.06
Non Recurring,0,0,0,0
Others,0,0,0,0
Total Operating Expenses,10034.6,3154.14,3520.13,1898.81
Operating Income or Loss,9096.95,2900.82,3488.84,1898.81
Total Other Income/Expenses Net,255.126,39.678,8.433,746.294
Earnings Before Interest and Taxes,9096.95,2900.82,3488.84,1898.81
Interest Expense,0,39.678,8.433,8.433
Income Before Tax,8841.82,2940.5,3497.27,2645.11
Income Tax Expense,0,0,0,0
Minority Interest,1956.83,1956.83,1956.83,1956.83
Net Income From Continuing Ops,8841.82,2940.5,3497.27,2645.11
Discontinued Operations,0,0,0,0
Extraordinary Items,0,0,0,0
Effect Of Accounting Changes,0,0,0,0
Other Items,0,0,0,0
Net Income,8731.83,2940.5,3497.27,2645.11
Preferred Stock And Other Adjustments,0,0,0,0
Net Income Applicable To Common Shares,8731.83,2940.5,3497.27,2645.11
